species,species_id,energy_eV,charge,n_H
Ir_3_O_4_OH_5_H2O_5_q-2,1A,-37429.564456,-2,15
Ir_3_O_4_OH_5_H2O_5_q-1,1B,-37425.800951,-1,15
Ir_3_O_4_OH_5_H2O_5_q+0,1C,-37421.450334,0,15
Ir_3_O_4_OH_5_H2O_5_q+2,1E,-37410.63391,2,15
Ir_3_O_4_OH_6_H2O_4_q-2,2A,-37413.472406,-2,14
Ir_3_O_4_OH_6_H2O_4_q-1,2B,-37409.215775,-1,14
Ir_3_O_4_OH_6_H2O_4_q+0,2C,-37405.00244,0,14
Ir_3_O_4_OH_6_H2O_4_q+1,2D,-37399.196649,1,14
Ir_3_O_4_OH_6_H2O_4_q+2,2E,-37393.053742,2,14
Ir_3_O_4_OH_7_H2O_3_q-2,3A,-37396.78187,-2,13
Ir_3_O_4_OH_7_H2O_3_q-1,3B,-37392.850634,-1,13
Ir_3_O_4_OH_7_H2O_3_q+0,3C,-37387.672457,0,13
Ir_3_O_4_OH_7_H2O_3_q+1,3D,-37381.757408,1,13
Ir_3_O_4_OH_7_H2O_3_q+2,3E,-37374.702059,2,13
Ir_3_O_4_OH_8_H2O_2_q-2,4A,-37380.442953,-2,12
Ir_3_O_4_OH_8_H2O_2_q-1,4B,-37375.437442,-1,12
Ir_3_O_4_OH_8_H2O_2_q+0,4C,-37370.739922,0,12
Ir_3_O_4_OH_8_H2O_2_q+1,4D,-37364.33822,1,12
Ir_3_O_4_OH_8_H2O_2_q+2,4E,-37357.613972,2,12
Ir_3_O_4_OH_9_H2O_1_q-2,5A,-37363.217356,-2,11
Ir_3_O_4_OH_9_H2O_1_q-1,5B,-37358.787845,-1,11
Ir_3_O_4_OH_9_H2O_1_q+0,5C,-37352.765098,0,11
Ir_3_O_4_OH_9_H2O_1_q+1,5D,-37346.442563,1,11
Ir_3_O_4_OH_9_H2O_1_q+2,5E,-37339.100835,2,11
Ir_3_O_4_OH_10_q-2,6A,-37347.005052,-2,10
Ir_3_O_4_OH_10_q-1,6B,-37341.15988,-1,10
Ir_3_O_4_OH_10_q+0,6C,-37335.365137,0,10
Ir_3_O_4_OH_10_q+1,6D,-37328.377046,1,10
Ir_3_O_4_OH_10_q+2,6E,-37321.383604,2,10
Ir_3_O_4_OH_9_O_1_q-2,7A,-37328.704679,-2,9
Ir_3_O_4_OH_9_O_1_q-1,7B,-37323.951119,-1,9
Ir_3_O_4_OH_9_O_1_q+0,7C,-37316.736659,0,9
Ir_3_O_4_OH_9_O_1_q+1,7D,-37311.589349,1,9
Ir_3_O_4_OH_9_O_1_q+2,7E,-37304.593288,2,9
Ir_3_O_4_OH_8_O_2_q-2,8A,-37312.147075,-2,8
