cluster,q-2_Eh,q-2_eV,q-1_Eh,q-1_eV,q+0_Eh,q+0_eV,q+1_Eh,q+1_eV,q+2_Eh,q+2_eV
Ir_3_O_4_OH_10,-1372.47712095,-37347.005052,-1372.26231486,-37341.15988,-1372.04936197,-37335.365137,-1371.79255435,-37328.377046,-1371.5355501,-37321.383604
Ir_3_O_4_OH_1_O_9,-1366.608296,-37187.306189,-1366.42348578,-37182.277247,-1366.21189737,-37176.519633,-1365.8936781,-37167.860446,-1365.70801087,-37162.808183
Ir_3_O_4_OH_2_O_8,-1367.29315312,-37205.942101,-1367.05442199,-37199.445896,-1366.80427499,-37192.639049,-1366.53690493,-37185.363539,-1366.27655275,-37178.278996
Ir_3_O_4_OH_3_O_7,-1367.95996274,-37224.086915,-1367.72034624,-37217.566618,-1367.43237183,-37209.730435,-1367.20138082,-37203.44485,-1366.88663527,-37194.880187
Ir_3_O_4_OH_4_O_6,-1368.59665796,-37241.412275,-1368.34512863,-37234.567813,-1368.13612786,-37228.880612,-1367.87056857,-37221.654376,-1367.55534958,-37213.07683
Ir_3_O_4_OH_5_H2O_5,-1375.51112308,-37429.564456,-1375.37281684,-37425.800951,-1375.21293459,-37421.450334,,,-1374.81543834,-37410.63391
Ir_3_O_4_OH_5_O_5,-1369.25194767,-37259.243616,-1369.04544544,-37253.624404,-1368.78617826,-37246.569385,-1368.54251508,-37239.938972,-1368.29326156,-37233.156438
Ir_3_O_4_OH_6_H2O_4,-1374.91975117,-37413.472406,-1374.76332285,-37409.215775,-1374.60848566,-37405.00244,-1374.39512677,-37399.196649,-1374.1693791,-37393.053742
Ir_3_O_4_OH_6_O_4,-1369.89559922,-37276.758267,-1369.6876485,-37271.09964,-1369.46053276,-37264.919506,-1369.16310089,-37256.825972,-1368.92327581,-37250.299999
Ir_3_O_4_OH_7_O_3,-1370.51230221,-37293.53961,-1370.32782066,-37288.519612,-1370.10301608,-37282.402367,-1369.82648031,-37274.877446,-1369.61667516,-37269.168357
Ir_3_O_4_OH_8_H2O_2,-1373.70594115,-37380.442953,-1373.52199201,-37375.437442,-1373.34936135,-37370.739922,-1373.11410311,-37364.33822,-1372.86699156,-37357.613972
Ir_3_O_4_OH_8_O_2,-1371.19611391,-37312.147075,-1370.98314313,-37306.351844,-1370.78155711,-37300.866409,-1370.5268698,-37293.936015,-1370.26341518,-37286.767049
Ir_3_O_4_OH_9_H2O_1,-1373.07291214,-37363.217356,-1372.91013062,-37358.787845,-1372.68879872,-37352.765098,-1372.45644985,-37346.442563,-1372.18664633,-37339.100835
Ir_3_O_4_OH_9_O_1,-1371.80459464,-37328.704679,-1371.62990455,-37323.951119,-1371.36477804,-37316.736659,-1371.17561787,-37311.589349,-1370.91851738,-37304.593288
Ir_3_O_4_O_10,-1365.96771702,-37169.875147,-1365.73113899,-37163.437531,-1365.49856986,-37157.109003,-1365.33357299,-37152.619209,,
Ir_3_O_4_OH_7_H2O_3,-1374.30638528,-37396.78187,-1374.16191501,-37392.850634,-1373.97162053,-37387.672457,-1373.75424648,-37381.757408,-1373.4949672,-37374.702059
